DistrictName,Cropname,Year,Production,Area,Yield,Rainfall
Darchula,"Maize	 ",2013,6404,3558,1800,2048
Dhading,"Maize	 ",2013,48613,19445,2500,2204.2
Dhankuta,"Maize	 ",2013,14975,5450,2748,2010.8
Dhanusa,"Maize	 ",2013,6663,2019,3300,1625.8
Dolakha,"Maize	 ",2013,11718,5450,2150,2307.4
Dolpa,"Maize	 ",2013,250,220,1136,1459.2
Doti,"Maize	 ",2013,5221,2748,1900,1892.8
Gorkha,"Maize	 ",2013,45480,19353,2350,2056
Gulmi,"Maize	 ",2013,52519,24844,2114,2224.7
Humla,"Maize	 ",2013,178,113,1575,1724.8
Ilam,"Maize	 ",2013,69654,28200,2470,2580.9
Jajarkot,"Maize	 ",2013,10539,8266,1275,1936.2
Jhapa,"Maize	 ",2013,95000,36850,2578,2599.9
Jumla,"Maize	 ",2013,7650,4500,1700,2035.8
Kailali,"Maize	 ",2013,5755,5540,1039,1846.8
Kalikot,"Maize	 ",2013,5228,2525,2070,1711.8
Kanchanpur,"Maize	 ",2013,6840,3600,1900,1831.6
Kapilbastu,"Maize	 ",2013,3302,1370,2410,1849
Kaski,"Maize	 ",2013,52549,20573,2554,2548.9
Kathmandu,"Maize	 ",2013,33164,9923,3342,2310.1
Kavre,"Maize	 ",2013,51592,24278,2125,2262.8
Khotang,"Maize	 ",2013,70378,41060,1714,1815.9
Lalitpur,"Maize	 ",2013,24908,8589,2900,2290.1
Lamjung,"Maize	 ",2013,52984,22725,2332,2340.1
Mahottari,"Maize	 ",2013,1400,700,2000,1677.4
Makwanpur,"Maize	 ",2013,67870,23648,2870,2158.6
Manang,"Maize	 ",2013,345,176,1960,1777.7
Morang,"Maize	 ",2013,50000,15000,3333,2116.2
Mugu,"Maize	 ",2013,1061,617,1720,1574.1
Mustang,"Maize	 ",2013,770,530,1453,1191.3
Myagdi,"Maize	 ",2013,40900,11134,3673,2197.4
Nawalparasi,"Maize	 ",2013,25310,10750,2354,1982.8
Nuwakot,"Maize	 ",2013,58845,19615,3000,2242.5
Okhaldhunga,"Maize	 ",2013,25476,11580,2200,1862.7
Palpa,"Maize	 ",2013,40879,21583,1894,2266.1
Panchthar,"Maize	 ",2013,29931,18627,1607,2404.2
Parbat,"Maize	 ",2013,30405,14285,2128,2547.2
Parsa,"Maize	 ",2013,14262,4075,3500,1902.6
Pyuthan,"Maize	 ",2013,18462,12058,1531,1979.7
Ramechhap,"Maize	 ",2013,57352,21480,2670,2098.8
Rasuwa,"Maize	 ",2013,5080,2430,2091,2221.5
Rautahat,"Maize	 ",2013,5500,1700,3235,1860.1
Rolpa,"Maize	 ",2013,26138,11881,2200,1896.8
Rukum,"Maize	 ",2013,30994,16289,1903,1846
Rupandehi,"Maize	 ",2013,10500,2650,3962,1949.7
Salyan,"Maize	 ",2013,33495,16280,2057,1772.1
Sankhuwasabha,"Maize	 ",2013,17000,12470,1363,2828.7
Saptari,"Maize	 ",2013,7800,3500,2229,1642.5
Sarlahi,"Maize	 ",2013,25283,5440,4648,1818
Sindhuli,"Maize	 ",2013,59577,23642,2520,1910.8
Sindhupalchok,"Maize	 ",2013,53958,24907,2166,2457.2
Siraha,"Maize	 ",2013,4000,2000,2000,1590.7
Solukhumbu,"Maize	 ",2013,32517,12955,2510,2288.3
Sunsari,"Maize	 ",2013,26500,7800,3397,1856
Surkhet,"Maize	 ",2013,38243,16100,2375,1746.2
Syangja,"Maize	 ",2013,81377,30905,2633,2540.8
Tanahu,"Maize	 ",2013,71630,26045,2750,2477.2
Taplejung,"Maize	 ",2013,49408,16075,3074,2756.3
Tehrathum,"Maize	 ",2013,27302,12410,2200,2172.3
Udayapur,"Maize	 ",2013,23500,9500,2474,1721.3
Achham,"Millet	 ",2013,3427,3415,1004,1738.3
Arghakhanchi,"Millet	 ",2013,606,505,1200,2050.5
Baglung,"Millet	 ",2013,21965,18615,1180,2283.1
Baitadi,"Millet	 ",2013,980,700,1400,1980.4
Bajhang,"Millet	 ",2013,2057,2286,900,1834.3
Bajura,"Millet	 ",2013,2610,2610,1000,1639.6
Banke,"Millet	 ",2013,0,0,0,1705.4
Bara,"Millet	 ",2013,105,78,1346,1888
Bardiya,"Millet	 ",2013,0,0,0,1733.6
Bhaktapur,"Millet	 ",2013,153,106,1443,2333
Bhojpur,"Millet	 ",2013,5000,5500,909,1970.3
Chitwan,"Millet	 ",2013,1600,1650,970,2112.7
Dadeldhura,"Millet	 ",2013,300,300,1000,1885.9
Dailekh,"Millet	 ",2013,2643,2422,1091,1652
Dang,"Millet	 ",2013,19,19,1000,1753.7
Darchula,"Millet	 ",2013,893,1310,682,2048
Dhading,"Millet	 ",2013,6953,6930,1003,2204.2
Dhankuta,"Millet	 ",2013,8000,8000,1000,2010.8
Dhanusa,"Millet	 ",2013,300,300,1000,1625.8
Dolakha,"Millet	 ",2013,4250,3600,1181,2307.4
Dolpa,"Millet	 ",2013,285,390,731,1459.2
Doti,"Millet	 ",2013,6145,5121,1200,1892.8
Gorkha,"Millet	 ",2013,13928,11605,1200,2056
Gulmi,"Millet	 ",2013,2900,2900,1000,2224.7
Humla,"Millet	 ",2013,1163,1278,910,1724.8
Ilam,"Millet	 ",2013,3000,3000,1000,2580.9
Jajarkot,"Millet	 ",2013,2297,1932,1189,1936.2
Jhapa,"Millet	 ",2013,1800,1750,1029,2599.9
Jumla,"Millet	 ",2013,4279,3890,1100,2035.8
Kailali,"Millet	 ",2013,380,377,1008,1846.8
Kalikot,"Millet	 ",2013,1295,1232,1051,1711.8
Kanchanpur,"Millet	 ",2013,0,0,0,1831.6
Kapilbastu,"Millet	 ",2013,0,0,0,1849
Kaski,"Millet	 ",2013,17278,14767,1170,2548.9
Kathmandu,"Millet	 ",2013,852,852,1000,2310.1
Kavre,"Millet	 ",2013,3501,3505,999,2262.8
Khotang,"Millet	 ",2013,23377,21315,1097,1815.9
Lalitpur,"Millet	 ",2013,575,575,1000,2290.1
Lamjung,"Millet	 ",2013,7523,7919,950,2340.1
Mahottari,"Millet	 ",2013,0,0,0,1677.4
Makwanpur,"Millet	 ",2013,3280,2645,1240,2158.6
Manang,"Millet	 ",2013,0,0,0,1777.7
Morang,"Millet	 ",2013,1800,1500,1200,2116.2
Mugu,"Millet	 ",2013,4937,4488,1100,1574.1
Mustang,"Millet	 ",2013,0,0,0,1191.3
Myagdi,"Millet	 ",2013,3425,2743,1249,2197.4
Nawalparasi,"Millet	 ",2013,515,500,1030,1982.8
Nuwakot,"Millet	 ",2013,9728,5120,1900,2242.5
Okhaldhunga,"Millet	 ",2013,12401,7751,1600,1862.7
Palpa,"Millet	 ",2013,2587,2538,1019,2266.1
Panchthar,"Millet	 ",2013,9046,4805,1883,2404.2
Parbat,"Millet	 ",2013,7893,8770,900,2547.2
Parsa,"Millet	 ",2013,86,86,1000,1902.6
Pyuthan,"Millet	 ",2013,2006,1984,1011,1979.7
Ramechhap,"Millet	 ",2013,4402,5060,870,2098.8
Rasuwa,"Millet	 ",2013,833,900,926,2221.5
Rautahat,"Millet	 ",2013,52,60,867,1860.1
Rolpa,"Millet	 ",2013,1273,1061,1200,1896.8
Rukum,"Millet	 ",2013,1573,915,1719,1846
Rupandehi,"Millet	 ",2013,125,120,1042,1949.7
Salyan,"Millet	 ",2013,2004,2204,909,1772.1
Sankhuwasabha,"Millet	 ",2013,7314,7171,1020,2828.7
Saptari,"Millet	 ",2013,215,250,860,1642.5
Sarlahi,"Millet	 ",2013,950,950,1000,1818
Sindhuli,"Millet	 ",2013,9526,11618,820,1910.8
Sindhupalchok,"Millet	 ",2013,21252,19320,1100,2457.2
Siraha,"Millet	 ",2013,575,650,885,1590.7
Solukhumbu,"Millet	 ",2013,2688,2100,1280,2288.3
Sunsari,"Millet	 ",2013,1100,1200,917,1856
Surkhet,"Millet	 ",2013,2832,2095,1352,1746.2
Syangja,"Millet	 ",2013,18815,16805,1120,2540.8
Tanahu,"Millet	 ",2013,5715,6350,900,2477.2
Taplejung,"Millet	 ",2013,4418,3290,1343,2756.3
Tehrathum,"Millet	 ",2013,3300,2800,1179,2172.3
Udayapur,"Millet	 ",2013,5000,2580,1938,1721.3
Achham,"Barley	 ",2013,566,505,1121,1738.3
Arghakhanchi,"Barley	 ",2013,420,350,1200,2050.5
Baglung,"Barley	 ",2013,1206,965,1250,2283.1
Baitadi,"Barley	 ",2013,1800,1000,1800,1980.4
Bajhang,"Barley	 ",2013,2938,3726,789,1834.3
Bajura,"Barley	 ",2013,1059,1072,988,1639.6
Banke,"Barley	 ",2013,10,10,1000,1705.4
Bara,"Barley	 ",2013,90,85,1059,1888
Bardiya,"Barley	 ",2013,10,10,1000,1733.6
Bhaktapur,"Barley	 ",2013,50,50,1000,2333
Bhojpur,"Barley	 ",2013,20,20,1000,1970.3
Chitwan,"Barley	 ",2013,45,40,1125,2112.7
Dadeldhura,"Barley	 ",2013,176,195,903,1885.9
Dailekh,"Barley	 ",2013,250,200,1250,1652
Dang,"Barley	 ",2013,49,50,980,1753.7
Darchula,"Barley	 ",2013,1560,1200,1300,2048
Dhading,"Barley	 ",2013,350,350,1000,2204.2
Dhankuta,"Barley	 ",2013,5,5,1000,2010.8
Dhanusa,"Barley	 ",2013,1,1,1000,1625.8
Dolakha,"Barley	 ",2013,180,175,1029,2307.4
Dolpa,"Barley	 ",2013,459,300,1530,1459.2
Doti,"Barley	 ",2013,370,240,1542,1892.8
Gorkha,"Barley	 ",2013,119,108,1102,2056
Gulmi,"Barley	 ",2013,666,370,1800,2224.7
Humla,"Barley	 ",2013,807,686,1176,1724.8
Ilam,"Barley	 ",2013,50,50,1000,2580.9
Jajarkot,"Barley	 ",2013,360,650,554,1936.2
Jhapa,"Barley	 ",2013,6,6,1000,2599.9
Jumla,"Barley	 ",2013,7400,4000,1850,2035.8
Kailali,"Barley	 ",2013,420,425,988,1846.8
Kalikot,"Barley	 ",2013,800,1000,800,1711.8
Kanchanpur,"Barley	 ",2013,10,10,1000,1831.6
Kapilbastu,"Barley	 ",2013,350,200,1750,1849
Kaski,"Barley	 ",2013,110,130,846,2548.9
Kathmandu,"Barley	 ",2013,5,5,1000,2310.1
Kavre,"Barley	 ",2013,825,750,1100,2262.8
Khotang,"Barley	 ",2013,400,400,1000,1815.9
Lalitpur,"Barley	 ",2013,70,65,1077,2290.1
Lamjung,"Barley	 ",2013,27,28,964,2340.1
Mahottari,"Barley	 ",2013,10,10,1000,1677.4
Makwanpur,"Barley	 ",2013,26,20,1300,2158.6
Manang,"Barley	 ",2013,215,100,2150,1777.7
Morang,"Barley	 ",2013,0,0,0,2116.2
Mugu,"Barley	 ",2013,1540,1540,1000,1574.1
Mustang,"Barley	 ",2013,506,273,1853,1191.3
Myagdi,"Barley	 ",2013,395,304,1299,2197.4
Nawalparasi,"Barley	 ",2013,10,10,1000,1982.8
Nuwakot,"Barley	 ",2013,225,200,1125,2242.5
Okhaldhunga,"Barley	 ",2013,100,100,1000,1862.7
Palpa,"Barley	 ",2013,37,26,1423,2266.1
Panchthar,"Barley	 ",2013,500,450,1111,2404.2
Parbat,"Barley	 ",2013,86,95,905,2547.2
Parsa,"Barley	 ",2013,40,39,1026,1902.6
Pyuthan,"Barley	 ",2013,816,510,1600,1979.7
Ramechhap,"Barley	 ",2013,190,173,1098,2098.8
Rasuwa,"Barley	 ",2013,190,173,1098,2221.5
Rautahat,"Barley	 ",2013,5,5,1000,1860.1
Rolpa,"Barley	 ",2013,700,500,1400,1896.8
Rukum,"Barley	 ",2013,1200,980,1224,1846
Rupandehi,"Barley	 ",2013,210,100,2100,1949.7
Salyan,"Barley	 ",2013,1460,1265,1154,1772.1
Sankhuwasabha,"Barley	 ",2013,30,30,1000,2828.7
Saptari,"Barley	 ",2013,0,0,0,1642.5
Sarlahi,"Barley	 ",2013,75,75,1000,1818
Sindhuli,"Barley	 ",2013,75,50,1500,1910.8
Sindhupalchok,"Barley	 ",2013,200,200,1000,2457.2
Siraha,"Barley	 ",2013,0,0,0,1590.7
Solukhumbu,"Barley	 ",2013,200,190,1053,2288.3
Sunsari,"Barley	 ",2013,0,0,0,1856
Surkhet,"Barley	 ",2013,1360,1030,1320,1746.2
Syangja,"Barley	 ",2013,5,6,833,2540.8
Tanahu,"Barley	 ",2013,6,6,1000,2477.2
Taplejung,"Barley	 ",2013,300,200,1500,2756.3
Tehrathum,"Barley	 ",2013,80,75,1067,2172.3
Udayapur,"Barley	 ",2013,35,35,1000,1721.3
Achham,Buckwheat,2013,0,0,0,1738.3
Arghakhanchi,Buckwheat,2013,240,275,872.73,2050.5
Baglung,Buckwheat,2013,116,80,1450,2283.1
Baitadi,Buckwheat,2013,0,0,0,1980.4
Bajhang,Buckwheat,2013,4,7,571.43,1834.3
Bajura,Buckwheat,2013,13,7,1857.14,1639.6
Banke,Buckwheat,2013,0,0,0,1705.4
Bara,Buckwheat,2013,0,0,0,1888
Bardiya,Buckwheat,2013,0,0,0,1733.6
Bhaktapur,Buckwheat,2013,0,0,0,2333
Bhojpur,Buckwheat,2013,12,17,705.88,1970.3
Chitwan,Buckwheat,2013,0,0,0,2112.7
Dadeldhura,Buckwheat,2013,0,0,0,1885.9
Dailekh,Buckwheat,2013,19,27,703.7,1652
Dang,Buckwheat,2013,20,20,0,1753.7
Darchula,Buckwheat,2013,82,100,820,2048
Dhading,Buckwheat,2013,0,0,0,2204.2
Dhankuta,Buckwheat,2013,0,0,0,2010.8
Dhanusa,Buckwheat,2013,0,0,0,1625.8
Dolakha,Buckwheat,2013,390,430,906.98,2307.4
Dolpa,Buckwheat,2013,690,680,1014.71,1459.2
Doti,Buckwheat,2013,12,12,1000,1892.8
Gorkha,Buckwheat,2013,396,393,1007.63,2056
Gulmi,Buckwheat,2013,252,210,1200,2224.7
Humla,Buckwheat,2013,603,670,900,1724.8
Ilam,Buckwheat,2013,20,25,800,2580.9
Jajarkot,Buckwheat,2013,20,19,1052.63,1936.2
Jhapa,Buckwheat,2013,1270,1270,1000,2599.9
Jumla,Buckwheat,2013,85,85,1000,2035.8
Kailali,Buckwheat,2013,25,25,1000,1846.8
Kalikot,Buckwheat,2013,155,105,1476.19,1711.8
Kanchanpur,Buckwheat,2013,0,0,0,1831.6
Kapilbastu,Buckwheat,2013,0,0,0,1849
Kaski,Buckwheat,2013,16,14,1142.86,2548.9
Kathmandu,Buckwheat,2013,5,5,1000,2310.1
Kavre,Buckwheat,2013,605,605,1000,2262.8
Khotang,Buckwheat,2013,400,700,571.43,1815.9
Lalitpur,Buckwheat,2013,53,54,981.48,2290.1
Lamjung,Buckwheat,2013,19,19,1000,2340.1
Mahottari,Buckwheat,2013,0,0,0,1677.4
Makwanpur,Buckwheat,2013,189,170,1111.76,2158.6
Manang,Buckwheat,2013,355,225,1577.78,1777.7
Morang,Buckwheat,2013,70,70,1000,2116.2
Mugu,Buckwheat,2013,506,506,1000,1574.1
Mustang,Buckwheat,2013,1020,585,1743.59,1191.3
Myagdi,Buckwheat,2013,98,58,1689.66,2197.4
Nawalparasi,Buckwheat,2013,127,200,635,1982.8
Nuwakot,Buckwheat,2013,226,200,1130,2242.5
Okhaldhunga,Buckwheat,2013,90,105,857.14,1862.7
Palpa,Buckwheat,2013,418,448,933.04,2266.1
Panchthar,Buckwheat,2013,36,56,642.86,2404.2
Parbat,Buckwheat,2013,37,38,973.68,2547.2
Parsa,Buckwheat,2013,0,0,0,1902.6
Pyuthan,Buckwheat,2013,15,13,1153.85,1979.7
Ramechhap,Buckwheat,2013,19,19,1000,2098.8
Rasuwa,Buckwheat,2013,0,0,0,2221.5
Rautahat,Buckwheat,2013,0,0,0,1860.1
Rolpa,Buckwheat,2013,120,122,983.61,1896.8
Rukum,Buckwheat,2013,0,0,0,1846
Rupandehi,Buckwheat,2013,0,0,0,1949.7
Salyan,Buckwheat,2013,71,65,1092.31,1772.1
Sankhuwasabha,Buckwheat,2013,15,18,833.33,2828.7
Saptari,Buckwheat,2013,0,0,0,1642.5
Sarlahi,Buckwheat,2013,0,0,0,1818
Sindhuli,Buckwheat,2013,272,532,511.28,1910.8
Sindhupalchok,Buckwheat,2013,0,0,0,2457.2
Siraha,Buckwheat,2013,0,0,0,1590.7
Solukhumbu,Buckwheat,2013,150,230,652.17,2288.3
Sunsari,Buckwheat,2013,400,400,1000,1856
Surkhet,Buckwheat,2013,0,0,0,1746.2
Syangja,Buckwheat,2013,172,230,747.83,2540.8
Tanahu,Buckwheat,2013,187,191,979.06,2477.2
Taplejung,Buckwheat,2013,170,120,1416.67,2756.3
Tehrathum,Buckwheat,2013,30,35,857.14,2172.3
Udayapur,Buckwheat,2013,20,20,1000,1721.3
